kljuc;naziv
0291;Akumulirana amortizacija odlagališta otpada, kamenoloma i sl. (MRS 16. t. 58.)
03;POSTROJENJA, OPREMA, ALATI, INVENTAR I TRANSPORTNA SREDSTVA
030;Postrojenja
0300;Tehnièka postrojenja, ureðaji, spremnici, pogonski motori, platforme i dr.
0301;Strojevi i alati u svezi sa strojevima u pogonima i radionicama za obradu i preradu
0302;Energetska postrojenja (kotlovnice, generatori, naponske i solarne æelije, vjetro-elektrane, toplinske crpke i dr.)
0303;Rashladna postrojenja
0304;Prijenosna postrojenja (dizala, pokretne stepenice, elevatori, pokretne trake i sl.)
0305;Poboljšanje na postrojenjima
0306;Mlinska postrojenja
0307;Postrojenje za pakiranje, ambalažu i sl.
0309;Ostala postrojenja i postrojenja izvan uporabe
031;Oprema
0310;Uredska oprema (fotokopirni aparati, telefoni, telefaxi, blagajne, alarmi, klimatizacijski ureðaji, hladnjaci, televizori, i dr.)
0311;Raèunalna oprema
0312;Telekomunikacijska oprema (mobiteli, tel. centrale, antene i sl.)
0313;Oprema trgovine (police, blagajne, hladnjaci, i dr.)
0314;Oprema ugostiteljstva, hotela i sl. (aparati, štednjaci, hladnjaci, pokuæstvo i sl.)
0315;Oprema servisa (dizalice, ispitni ureðaji, aparati i dr.)
0316;Oprema za graditeljstvo (kranovi, bageri, skele, oplate, mješalice, dizalice, valjci i sl.)
0317;Oprema ribarstva (osim brodova)
0318;Oprema zaštite na radu i protupožarne zaštite
0319;Ostala oprema i oprema izvan uporabe
032;Alati, pogonski inventar i transportna imovina
0320;Transportna imovina
03200;Putnièka vozila (osobna i putnièki kombi) i motor kotaèi
03201;Teretna i vuèna vozila, tegljaèi i kamioni
03202;Prikljuèna transportna sredstva (prikolice)
03203;Teretna vozila (dostavna i kombi) i hladnjaèe, cisterne
03204;Auto mješalice, auto crpke za beton, auto dizalice i sl.
03205;Autobusi
03206;Zrakoplovi
03207;Brodovi (veæi od 1000 BRT)
03208;Brodice, jahte i ost. plovila
03209;Ostala transportna sredstva i ureðaji (gusjenièari, el. vozila, viljuškari, vagoni, elevatori, traktori, bicikli i dr.)
0321;Pokuæstvo - inventar
03210;Uredsko pokuæstvo, sagovi, zavjese i sl.
03211;Inventar trgovine (police, pregrade, pultovi)
03212;Ugostiteljsko i hotelsko pokuæstvo i inventar
03213;Ostalo pokuæstvo i inventar
0322;Pogonski i skladišni inventar (stalaže, zatvoreni ormari, skele, oplate, protupožarni aparati, zaštitna sredstva i sl.)
0323;Alati, mjerni i kontrolni instrumenti i pomoæna oprema
0324;Audio i video aparati, kamere, parkir. rampe i sl.
0325;Reklame (svjetleæe), stupovi i sl.
0326;Inventar ustanova (aparati, kreveti i sl.)
0327;Ostali pogonski inventar,
0328;Višegodišnja ambalaža
0329;Alati, inventar i vozila izvan uporabe
033;Pretporez koji se ne može odbiti (kao dio vrijed. os. aut.)
0330;30% pretporeza od osobnih automobila (n. v. do 400.000,00 kn)
0331;30% i 100% pretporeza od osobnih automobila (n. v. veæe od 400.000,00 kn)
0332;30% pretporeza od brodova, jahti i dr. (n.v. do 400.000,00 kn)
0333;30% i 100% pretporeza od brodova, jahti i dr. (n.v. veæe od 400.000,00 kn)
034;Poljoprivredna oprema
0340;Traktori, kombajni, prikolice i sl.
0341;Radni prikljuèci (plugovi, beraèice, freze, prskalice, sabiraèe i sl.)
0342;Oprema za mljekarstvo (muzilice, separatori, police, spremnici i sl.)
0343;Oprema ribarstva (kavezi, mreže, èamci i brodovi, pakirnice)
0344;Oprema vinogradarstva (baève, filteri, preše, punionica)
0345;Oprema voèarstva i maslinarstva
0346;Oprema stoèarstva i pæelarstva
0347;Oprema mlinova
0349;Ostala oprema poljoprivrede, stoèarstva i ribarstva
035;Ostala materijalna imovina
0350;Umjetnine, slike i sl.
0351;Arhivski predmeti, makete i sl.
0352;Knjige, karte, fotografije i sl.
0353;Oldtimeri (automobili, brodovi i dr.)
0354;Ostala materijalna imovina
036;Predujmovi za materijalnu imovinu
0360;Predujmovi za postrojenja i opremu
0361;Predujmovi za alate, pogonski inventar i transportnu imovinu
0362;Predujam za ostalu imovinu
037;Materijalna imovina u pripremi
0370;Postrojenja u pripremi
0371;Oprema u pripremi
0372;Alati, pogonski inventar u pripremi
0373;Osobni automobili i transportna sredstva u pripremi
0374;Poljoprivredna oprema u pripremi
0375;Ostala imovina u pripremi
038;Vrijednosno usklaðenje postrojenja i opreme
0380;Vrijednosno usklaðenje postrojenja
0381;Vrijednosno usklaðenje opreme
0382;Vrijednosno usklaðenje alata, pogonskog inventara i transportne imovine
0383;Vrijednosno usklaðenje ostale mat. imovine
0384;Vrijednosno usklaðenje poljoprivredne opreme
039;Akumulirana amortizacija postrojenja i opreme
0390;Akumulirana amortiz. postrojenja
0391;Akumulirana amortiz. opreme
0392;Akumulirana amortiz. alata, pogonskog inventara i transportne imovine
0393;Akumulirana amortiz. ostale mat. imovine
0394;Akumulirana amortiz. poljoprivredne opreme
0395;Akumulirana amortiz. 30% pretporeza od osob. automobila
0396;Akumulirana amortiz. 30% i 100% pretporeza od osob. automobila (n. v. veæe od 400.000,00 kn)
0397;Akumulirana amortiz. 30% od pretporeza od brodova, jahti i dr. sred. za osobni prijevoz
0398;Akumulirana amortiz. 30% i 100% pretporeza od brodova, jahti i dr. sred. za osobni prijevoz (n. v. veæe od 400.000,00 kn)
04;BIOLOŠKA IMOVINA
040;Biološka imovina - bilje - višegodišnji nasadi
0400;Voænjaci
0401;Vinogradi
0402;Maslinici
0403;Plantaže drveæa i bilja (šume)
0404;Parkovi, zelenila, nasadi i cvijeæe
0405;Ulaganja u ostale višegodišnje nasade
041;Biološka imovina - životinje - osnovno stado
0410;Goveda
0411;Konji
0412;Mazge, magarci i mule
0413;Svinje
0414;Ovce i koze
0415;Perad
0416;Ribe
0417;Pèelinja društva
0418;Stado kuniæa, nutrija (za rasplod)
0419;Ostale nespomenute životinje (psi, ptice i dr.)
046;Predujmovi za biološku imovinu
0460;Predujmovi za višegodišnje nasade
0461;Predujmovi na nabavu životinja
047;Biološka imovina u pripremi
0470;Višegodišnji nasadi u pripremi
0471;Životinje (osnovno stado) u nabavi
048;Vrijednosno usklaðenje biološke imovine
0480;Vrijednosno usklaðenje višegodišnjih nasada
0481;Vrijednosno usklaðenje životinja (osnovnog stada)
049;Akumulirana amortizacija biološke imovine
0490;Akumulirana amortiz. višegodišnjih nasada
0491;Akumulirana amortiz. životinja (osnovnog stada)
05;ULAGANJA U NEKRETNINE
050;Ulaganja u nekretnine - zemljišta
051;Ulaganja u nekretnine - graðevine
0510;Graðevine u najmovima (poslovne zgrade, stanovi, apartmani, kuæe)
0511;Graðevine izvan uporabe (zgrade, stanovi, apartmani, kuæe)
056;Predujmovi za ulaganja u nekretnine
0560;Predujam za ulaganja u zemljište
0561;Predujam za ulaganje u graðevine
057;Ulaganja u nekretnine u pripremi
0570;Ulaganja u zemljišta u nabavi
0571;Ulaganja u graðevine u nabavi
0572;Ulaganja u graðevine u izgradnji
058;Vrijednosno usklaðenje ulaganja u nekretnine
0580;Vrijednosno usklaðenje ulaganja u zemljište
0581;Vrijednosno usklaðenje ulaganja u graðevine
059;Akumulirana amortizacija ulaganja u graðevine
06;DUGOTRAJNA FINANCIJSKA IMOVINA (s povratom dužim od jedne godine)
060;Udjeli (dionice) kod povezanih poduzetnika (s više od 20% udjela)
0600;Udjel u dionicama (s više od 20%)
0601;Udjel u kapitalu d.o.o.-a (s više od 20%)
0602;Udjeli u komanditnom društvu
0603;Udjeli u društvima u inozemstvu (s više od 20%)
0604;Osnivaèki udjeli u ustanovama
0605;Udjeli u zadrugama
0606;Udio u društvu s uzajamnim udjelima
0607;Ulaganje u kapitalne prièuve (neupisani kapital)
061;Dani zajmovi povezanim poduzetnicima (analitika po društvima u kojima se ima više od 20% udjela)
062;Sudjelujuæi interesi (udjeli)
0620;Udjel u dionièkom kapitalu (do 20% udjela - analitika po društvima)
0621;Udjel u kapitalu d.o.o. (do 20% udjela)
0622;Udjeli u društvima u inozemstvu (do 20% udjela)
0623;Ulaganje u dionice i udjele radi preprodaje
0624;Potraživanja za udio u dobitku (analitika po udjelima)
063;Zajmovi dani poduzetnicima u kojima postoje sudjelujuæi interesi (do 20% udjela u T.K.)
064;Ulaganja u vrijednosne papire (dugotrajne)
0640;Ulaganja u mjenice, zadužnice (kupljene)
0641;Ulaganja u državne obveznice
0642;Dugotrajna ulaganja u obveznice društva
0643;Dugotrajna ulaganja u blagajnièke zapise
0644;Dugotrajna ulaganja u opcije, certifikate i sl.
0645;Ulaganja u komercijalne zapise i robne ugovore
0646;Ulaganja u dugotrajne financijske vrijednosne papire (roènice, futeresi i sl.)
0647;Ulaganja u ostale vrijednosne papire
06470;Ulaganja u vrijednosne papire po fer vrijednosti
06471;Vrijednosni papiri namijenjeni prodaji (do dospijeæa)
0648;Ulaganje u vrijed. pap. raspoložive za prodaju
0649;Nezaraðeni prihodi u financijskim instrumentima
065;Dani zajmovi, depoziti i sl.
0650;Dani dugotrajni zajmovi
06500;Dani zajmovi vanjskim pravnim osobama (nepovezanim)
06501;Dani zajmovi vanjskim fizièkim osobama - obrtnicima
06502;Dani zajmovi kooperantima
06503;Dani zajmovi direktoru, ortacima, menadžerima, zaposlenicima
06504;Oroèenja u bankama
06505;Financijski zajmovi dani u inozemstvo
06509;Ostali dugotrajni zajmovi
0651;Depoziti dugotrajni
06510;Depoziti iz poslovnih aktivnosti
06511;Depoziti kod osiguravajuæih društava
06512;Depoziti u poslovnim bankama
06513;Depoziti na carini (garancija špeditera)
06514;Sudski depoziti
0652;Kaucije i kapare
06520;Kaucije za obveze
06521;Kaucije iz kupoprodajnih poslova
06522;Kaucije za plaæanja
06523;Dane kapare i osiguranja
066;Ulaganja koja se obraèunavaju metodom udjela
0660;Ulaganja (udjeli) koji su raspoloživi za prodaju (dugotrajno ulaganje - MRS 28. t. 11. i 13. te MRS 39. t. 9.)
067;Ostala dugotrajna financijska imovina
0670;Ulaganja u investicijske fondove (s rokom dužim od 1 god.)
0672;Ostala nespomenuta dugoroèna ulaganja
068;Vrijednosno usklaðenje financijske imovine - dugotrajne (analitika prema oblicima imovine u usklaðenju)
069;Nezaraðene kamate u kreditima i sl.
07;POTRAŽIVANJA (dulja od jedne godine)
070;Potraživanja od povezanih poduzetnika
0700;Potraživanja od povezanih društava za isporuke dobara i usluga
0701;Potraživanja od povezanih društava za dana sredstva na dugoroènu posudbu (osim novca)
0702;Potraživanja od zadrugara, kooperanata i sl.
071;Potraživanja s osnove prodaje na kredit
0710;Potraživanja s osnove prodaje na robni kredit
0711;Potraživanja s osnove prodaje na robni kredit u inozemstvu
0712;Potraživanja za prodane usluge na kredit
0713;Potraživanje za dugotr. imovinu prodanu na kredit
0714;Potraživanja za prodaju u financijskom lizingu
0715;Potraživanja za prodani udjel na kredit
0716;Potraživanja za prodaju na potrošaèki kredit
0717;Ostala potraživanja iz prodaje na kredit
072;Potraživanja iz faktoringa
073;Potraživanja za jamèevine
0730;Potraživanja za jamèevine iz operativnog lizinga
0731;Jamstvo za dobro izvedene radove
0732;Jamèevine iz natjeèaja
0733;Jamèevine za štete
074;Potraživanja u sporu i rizièna potraživanja
075;Potraživanja za predujmove za usluge
076;Ostala potraživanja - dugotrajna
0760;Potraživanja od radnika
0761;Potraživanja od èlanova društva
0762;Potraživanja iz ortaštva
078;Vrijednosno usklaðivanje dugotrajnih potraživanja
079;Potraživanja za nezaraðenu kamatu
08;ODGOÐENA POREZNA IMOVINA
080;Odgoðena privremena razlika poreza na dobitak (analitika po godinama)
1;NOVAC, KRATKOTRAJNA FINANCIJSKA IMOVINA, KRATKOTRAJNA POTRAŽIVANJA, TE TROŠKOVI I PRIHOD BUDUÆEG RAZDOBLJA
10;NOVAC U BANKAMA I BLAGAJNAMA
100;Novèani raèuni u bankama
1000;Žiro-raèun u banci (analitika po raèunima u bankama i štedionicama)
1006;Zajednièki raèun
1007;Podraèun društva
1008;Žiro-raèun društva u osnivanju
1009;Žiro-raèun prijelazni konto
101;Otvoreni akreditiv u domaæoj banci
102;Blagajne
1020;Glavna blagajna (ukljuèivo i plemenitih metala)
1021;Blagajna vrijednosnica (poštanskih, taksenih maraka i dr. vrijednosnica)
1022;Blagajna prodavaonice
1023;Blagajna servisa
1024;Blagajna recepcije (šanka)
1025;Blagajna radne jedinice
1028;Blagajna za ostalo
1029;Prijelazni raèun blagajne prodavaonice
103;Devizni raèuni
1030;Devizni raèun u domaæoj banci (analitika po devizama)
1031;Devizni raèun u inozemnoj banci (u EU)
1032;Devizni raèun reeksportnih poslova
1034;Devizni raèun investicijskih radova
1035;Devizni raèun poslovne jedinice u inozemstvu
1036;Devizni raèun u slobodnoj zoni
1037;Nerezidentski devizni raèun
1038;Devizni raèun terminskih poslova
1039;Prijelazni devizni raèun
104;Otvoreni akreditiv u stranim valutama
1040;Otvoreni devizni akreditiv u domaæoj banci
1041;Otvoreni akreditiv u inozemnoj banci
105;Devizna blagajna
1050;Glavna devizna blagajna
1051;Devizna blagajna za službena putovanja u inozemstvo
1052;Devizna blagajna za troškove prijevoza robe u inozemstvo
1053;Devizna blagajna za mjenjaèke poslove
1055;Devizna blagajna za razne isplate
106;Novac za kupnju deviza
108;Ostala novèana sredstva
109;Vrijednosno usklaðenje depozita u bankama
11;KRATKOTRAJNA FINANCIJSKA IMOVINA (do jedne godine)
110;Udjeli (dionice) u povezanim poduzetnicima
1100;Udjeli u povezanim društvima (s više od 20%)
1101;Dionièki udio u d.d. (s više od 20%)
1102;Ulaganje u dionice radi preprodaje (iz udjela više od 20%)
111;Dani zajmovi povezanim poduzetnicima
1110;Kratkoroèni zajam povezanom društvu
1111;Kratkoroèni zajam povezanom društvu u inozemstvu
1112;Zajmovi dani vlastitim podružnicama
1113;Zajmovi dani ustanovama i školama (kojih je društvo osnivaè)
112;Sudjelujuæi interesi (udjeli)
1120;Udjeli (do 20%) u društvima kapitala
1121;Udjeli - dionice u bankama
1122;Udjeli (do 20%) u ustanovama, zadrugama i dr.
113;Zajmovi dani poduzetnicima u kojima postoje sudjelujuæi interesi (do 20% udjela)
1130;Zajmovi u novcu
1131;Zajmovi iz preuzetog duga
1132;Zajmovi iz dospjelih anuiteta u razdoblju do 12 mj. od dospijeæa
1133;Ostali zajmovi društvima u kojima se drži udjel do 20%
114;Ulaganja u vrijednosne papire
1140;Èekovi
1141;Mjenice
11410;Mjenice u portfelju
11411;Mjenice na naplati
11412;Mjenice u protestu
11413;Utužene mjenice
1142;Komercijalni zapisi
1143;Kratkotrajne obveze poduzetnika
1144;Blagajnièki zapisi (izdani od banaka)
1145;Ulaganje u obveznice
1146;Zadužnice (iskupljene) s temelja jamstva
1147;Ulaganje u vrijednosne papire ( "namjenjene prodaji")
1148;Ostali brzounovèivi vrijednosni papiri (robni papiri, ostale obveznice)
1149;Predani vrijednosni papiri na naplatu
115;Dani zajmovi, depoziti i sl.
1150;Dani kratkotrajni zajmovi
11500;Zajmovi poduzetnicima
11501;Zajmovi ortacima
11502;Zajmovi obrtnicima
11503;Zajmovi podružnicama
11504;Zajmovi ustanovama
11505;Zajmovi dani u inozemstvo
11506;Zajmovi èlanovima uprave i zaposlenicima
11507;Zajmovi dani poljoprivrednicima ili zadrugarima
11508;Dospjeli anuiteti dugotrajnih zajmova (koji se naplaæuju u roku od 12 mjeseci - analitika po korisnicima)
11509;Ostali kratkotrajni zajmovi
1151;Depoziti (do jedne godine)
11510;Depoziti u bankama
11511;Depoziti u osiguravajuæim društvima
11512;Depoziti u inozemnim financijskim institucijama
11513;Depoziti za ostale poslovne aktivnosti
1152;Kaucije i jamèevine (do jedne godine)
11520;Kaucije na aukcijama (dražbama)
11521;Kaucije za robu
11522;Kaucije za ambalažu
11523;Dane jamèevine za natjeèaje
11524;Potraživanja za kapare (èl. 303. ZOO)
11525;Polozi gotovine za ostale poslovne aktivnosti
116;Potraživanja iz ulaganja u investicijske fondove
1160;Kratkotrajno ulaganje u novèane fondove
1161;Kratkotrajno ulaganje u ostale investicijske fondove
117;Ostala financijska imovina
1170;Otkup kratkoroènih potraživanja (faktoring)
1171;Ulaganje u kratkotrajne eskontne poslove
1172;Potraživanja za više uplaæeno po kreditnoj kartici
1173;Potraživanja za isplate avaliranih ili indosiranih mjenica
1174;Potraživanja po isplaæenim garancijama
1175;Potraživanja iz preuzetog duga (èl. 96. ZOO)
1176;Potraživanje po asignacijama, novacijama i sl.
118;Potraživanja u sporu (npr. utužena, u steèaju i sl. iz fin. imovine)
119;Vrijednosno usklaðivanje financijske imovine - kratkotrajne (analitika po otpisima iz ove skupine raèuna)
12;POTRAŽIVANJA (KRATKOTRAJNA)
120;Potraživanja od kupaca
1200;Potraživanja od kupaca dobara
1201;Potraživanja od kupaca usluga (servisne, najmovi, ustupanje radne snage, kapaciteta i dr.)
1202;Potraživanja za prodaju prava
1203;Kupci graðani i prodaja na potrošaèki kredit
1204;Kupci imovinskih sredstava, inventara, materijala, otpadaka i sl.
1205;Potraživanja od kupaca za prodanu robu iz komisije
1206;Kupci zastupnièke i franšizne prodaje
1207;Potraživanja za prodaju na kreditne kartice
1208;Potraživanja od ostalih prodaja
1209;Potraživanja za nefakturiranu isporuku dobara ili usluga
121;Kupci u inozemstvu
1210;Kupci dobara iz inozemstva
1211;Kupci usluga iz inozemstva
122;Potraživanja od povezanih poduzetnika (s više od 20% udjela - ovisni poduzet.)
1220;Potraživanja za prodaju - isporuku povezanim društvima
1221;Potraživanja za dividende od povezanih društava
1222;Potraživanja za isporuke povezanim društvima u inozemstvu
1223;Potraživanja za nadoknadu gubitka od povezanih društava (èl. 489. ZTD)
1224;Potraživanja za kamate od povezanih društava
1225;Potraživanja od podružnica
1226;Ostala kratkoroèna potraživanja od povezanih poduzetnika
1227;Potraživanja za udio u dobitku d.o.o.-a
1128;Potraživanja iz ulaganja radi poveæanja udjela (do upisa u t.k.)
123;Potraživanja od sudjelujuæih poduzetnika (u kojima se drži manje od 20% udjela)
1230;Potraživanja za isporuke dobara i usluga
1231;Potraživanja za dividendu - dobitak
1232;Potraživanja za kamate
1233;Ostala potraživanja od sudjelujuæih društava
124;Potraživanja za kamate
1240;Potraživanja od kupaca za ugovorene kamate (koje nisu pripisane glavnici)
1241;Potraživanja za zatezne kamate (koje nisu pripisane glavnici)
1242;Potraživanja za kamate po nagodbama
1243;Potraživanje za kamatu iz danih zajmova
125;Potraživanja za predujmove za usluge (koje nisu u svezi sa zalihama i dugotr. imov.)
126;Potraživanja iz vanjskotrgovaèkog poslovanja (s osnove uvoza odnosno izvoza za tuði raèun)
1260;Potraživanja po poslovima uvoza za tuði raèun
1261;Potraživanja od izvoznika
127;Potraživanja s osnove ostalih aktivnosti
1270;Potraživanja s osnove prodaje udjela i dionica
1271;Potraživanja za nakladno odobrene popuste (bonifikacije, casa-sconto, rabat i sl.)
1272;Potraživanja za predujam za kupnju dionica i udjela
1273;Potraživanja od komisionara
128;Ostala kratkoroèna potraživanja
1280;Potraživanja iz odštetnih zahtjeva (od osiguravajuæih društava)
1281;Potraživanja za udjel u dobitku - prihodu u investicijskom fondu
1282;Potraživanja za tantijeme (nadoknade za korištenje patenta, znaka i autorskih prava)
1283;Potraživanja steèena cesijom, asignacijom i preuzimanjem duga od prodaje
1284;Potraživanja za nadoknadu troškova iz jamstva
1285;Potraživanja od kooperanata, zadrugara, ustanove
1286;Potraživanja od èlanova društva za pokriæe gubitka
1287;Potraživanja za dana jamstva i èinidbe
1288;Potraživanja za poreze iz poslovnih odnosa
1289;Ostala potraživanja
129;Vrijednosno usklaðenje potraživanja
1290;Vrijednosno usklaðenje potraživanja od kupaca
1291;Vrijednosno usklaðenje potraživanja od povezanih društava
1292;Vrijednosno usklaðenje od poduzetnika iz sudjelujuæih interesa
1293;Vrijednosno usklaðenje kamata
1294;Vrijednosno usklaðenje za dane predujmove za usluge
1295;Vrijednosno usklaðenje ostalih potraživanja (raèuni 126 do 128)
13;POTRAŽIVANJA OD ZAPOSLENIH I OSTALA POTRAŽIVANJA (kratkotrajna)
130;Potraživanja od zaposlenih
1300;Potraživanja od zaposlenih za više isplaæenu plaæu
1301;Potraživanja za isplaæeni predujam za službeni put
1302;Potraživanja za dane novèane svote za nabave u gotovini (za tržišni nakup, za karnete i dr.)
1303;Potraživanja za manjkove i uèinjene štete (s PDV-om)
1304;Potraživanja za prehranu, kazne, za korištenje odmarališta i sl.
1305;Potraživanja od zaposlenih za manje plaæene poreze i doprinose
1306;Potraživanja od zaposlenika za plaæene privatne troškove (npr. po službenoj kred. kartici)
1307;Potraživanja od zaposlenika za primitak u naravi
1309;Ostala potraživanja od zaposlenih
133;Potraživanja od èlanova poduzetnika
1330;Potraživanja od èlanova društva za predujmljeni dobitak - dividendu
1331;Potraživanja od èlanova društva za privatne troškove
1332;Potraživanja od èlanova ustanove
1333;Potraživanja od èlanova zadruge
134;Potraživanja u sporu i rizièna potraživanja (iz skupine 12 i 13)
135;Potraživanja za sredstva u slobodnoj zoni
136;Potraživanja od banaka za prodaju na potrošaèki kredit
137;Potraživanja od poslovnih jedinica u inozemstvu
1370;Potraživanja za isporuèena dobra i usluge
1371;Potraživanja za doznake novca, za dobitak i dr.
138;Ostala poslovna potraživanja
1380;Potraživanja za naknadne popuste
1381;Potraživanja od ortaka
1382;Potraživanja od zastupnika
1389;Ostala poslovna potraživanja
139;Vrijednosno usklaðenje potraživanja od zaposlenih èlanova društva i ostalih potraživanja
14;POTRAŽIVANJA OD DRŽAVE ZA POREZE, CARINU I DOPRINOSE
140;Porez na dodanu vrijednost
1400;Pretporez po ulaznim raèunima
14000;Pretporez - 10%
14001;Pretporez - 22%
14002;Pretporez - 23%
1401;Pretporez iz predujmova
14010;Pretporez iz predujmova -10%
14011;Pretporez iz predujmova - 22%
14012;Pretporez iz predujmova - 23%
1402;Plaæeni PDV pri uvozu dobara
14020;Plaæeni PDV pri uvozu dobara - 10%
14021;Plaæeni PDV pri uvozu dobara - 22%
14022;Plaæeni PDV pri uvozu dobara - 23%
1403;Plaæeni PDV na usluge inozemnih poduzetnika
14030;Plaæeni PDV na usluge inozemnih poduzetnika - 10%
14031;Plaæeni PDV na usluge inozemnih poduzetnika - 22%
14032;Plaæeni PDV na usluge inozemnih poduzetnika - 23%
1404;Ispravci pretporeza zbog prenamjene dobara
14040;Ispravak pretporeza zbog promjene postotka priznavanja PDV-a
1406;Pretporez steèen po ugovoru o asignaciji ili iz preknjižavanja
1407;Potraživanja za razliku veæeg pretporeza od obveze u obraèunskom razdoblju
1408;Pretporez koji još nije priznan (ukljuèivo i neplaæeni R-2)
